Overall,City,Total Score,Accessibility,Safety,Resources
90,"Gilbert, AZ",48.52,100,61,67
25,"Laredo, TX",61.52,99,5,43
76,"Glendale, AZ",50.84,98,61,67
49,"Birmingham, AL",56.15,97,30,44
93,"Arlington, TX",45.7,96,79,20
80,"Henderson, NV",50.09,95,37,76
69,"North Las Vegas, NV",52.72,94,37,76
83,"Chesapeake, VA",49.38,93,74,56
17,"Lubbock, TX",64.33,92,14,5
92,"Baton Rouge, LA",46.26,91,91,17
64,"Stockton, CA",53.82,90,9,84
24,"Chula Vista, CA",62.46,89,11,15
59,"Fort Wayne, IN",54.85,88,50,55
100,"Indianapolis, IN",21.13,87,100,39
86,"Mesa, AZ",49,86,61,67
72,"Winston-Salem, NC",51.63,85,69,14
77,"Garland, TX",50.38,84,79,20
78,"Hialeah, FL",50.28,83,45,94
16,"Boise, ID",64.45,82,3,37
42,"Aurora, CO",57.6,81,25,27
82,"Chandler, AZ",49.55,80,61,67
60,"Colorado Springs, CO",54.66,79,72,9
85,"Plano, TX",49.13,78,79,20
39,"Toledo, OH",57.77,77,58,7
8,"Reno, NV",68.13,76,8,1
84,"Fort Worth, TX",49.26,75,79,20
44,"Anaheim, CA",57.16,74,15,60
99,"St. Petersburg, FL",24.03,73,98,91
95,"Tulsa, OK",43.02,72,94,48
79,"Fresno, CA",50.22,71,87,26
38,"Irvine, CA",57.88,70,15,60
28,"Omaha, NE",60.93,69,1,93
67,"Scottsdale, AZ",53.32,68,61,67
98,"Tampa, FL",24.69,67,98,91
29,"Wichita, KS",60.76,66,7,30
48,"Riverside, CA",56.37,65,32,49
81,"Louisville, KY",49.83,64,85,47
57,"Lexington-Fayette, KY",54.96,63,77,11
61,"Jacksonville, FL",54.16,62,36,83
34,"El Paso, TX",58.51,61,40,45
45,"San Bernardino, CA",56.94,60,32,49
87,"Bakersfield, CA",48.98,59,86,74
31,"Memphis, TN",60.14,58,10,87
36,"Greensboro, NC",58.21,57,43,36
75,"Irving, TX",51.12,56,79,20
94,"Oklahoma City, OK",45.64,55,90,89
43,"Corpus Christi, TX",57.43,54,67,8
97,"Charlotte, NC",40.67,53,95,88
54,"Detroit, MI",55.47,52,47,73
70,"Sacramento, CA",52.09,51,44,90
58,"Anchorage, AK",54.88,50,54,42
41,"San Antonio, TX",57.63,49,55,6
74,"Norfolk, VA",51.18,48,74,56
71,"Virginia Beach, VA",51.99,47,74,56
5,"Madison, WI",71.06,46,1,4
62,"Columbus, OH",54.13,45,59,54
51,"Las Vegas, NV",56.06,44,37,76
35,"Fremont, CA",58.29,43,27,80
18,"Milwaukee, WI",64.18,42,4,18
73,"Raleigh, NC",51.42,41,89,13
63,"Buffalo, NY",53.91,40,56,75
33,"Pittsburgh, PA",58.96,39,53,33
27,"Long Beach, CA",61.25,38,15,60
37,"Cincinnati, OH",58.17,37,42,40
50,"Durham, NC",56.06,36,49,66
26,"Santa Ana, CA",61.48,35,15,60
68,"Houston, TX",53.32,34,70,65
53,"Tucson, AZ",55.85,33,57,41
19,"San Diego, CA",64.13,32,11,15
66,"Nashville, TN",53.73,31,60,85
9,"Honolulu, HI",67.85,30,13,12
65,"Dallas, TX",53.78,29,79,20
96,"New Orleans, LA",42.43,28,92,100
32,"St. Paul, MN",59,27,51,31
55,"Phoenix, AZ",55.39,26,61,67
56,"Orlando, FL",55.07,25,78,38
23,"Lincoln, NE",63.1,24,20,46
88,"Kansas City, MO",48.76,23,93,34
47,"Atlanta, GA",56.47,22,41,96
15,"San Jose, CA",64.47,21,21,35
52,"Miami, FL",55.86,20,45,94
20,"Austin, TX",63.66,19,68,2
46,"Cleveland, OH",56.65,18,73,53
91,"St. Louis, MO",46.51,17,96,51
30,"Newark, NJ",60.17,16,22,97
14,"Los Angeles, CA",64.79,15,15,60
12,"Denver, CO",65.98,14,25,27
10,"Portland, OR",66.82,13,31,29
21,"Baltimore, MD",63.5,12,35,79
40,"Albuquerque, NM",57.67,11,88,19
13,"Oakland, CA",65.68,10,27,80
89,"Philadelphia, PA",48.73,9,97,86
11,"Minneapolis, MN",66.72,8,51,31
1,"Seattle, WA",77.97,7,6,3
22,"Chicago, IL",63.33,6,71,59
7,"New York, NY",68.87,5,22,97
6,"Jersey City, NJ",69.05,4,22,97
4,"Washington, DC",71.23,3,48,52
2,"Boston, MA",77.84,2,34,10
3,"San Francisco, CA",75.21,1,27,80
